marks,total,test,reason,id,correct
0.0,0.5,uv run autolysis goodreads.csv,"Reading inline script metadata from `/root/.local/share/tds-sep-24-project-2/23f1001130/autolysis.py` Installed 35 packages in 69ms Traceback (most recent call last):   File ""/root/.cache/uv/archive-v0/dsZr-lxI6AbzZ_nxEklFu/lib/python3.13/site-packages/pandas/compat/_optional.py"", line 135, in import_optional_dependency     module = importlib.import_module(name)   File ""/root/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/importlib/__init__.py"", line 88, in import_module     return _bootstrap._gcd_import(name[level:], package, level)            ~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""<frozen importlib._bootstrap>"", line 1387, in _gcd_import   File ""<frozen importlib._bootstrap>"", line 1360, in _find_and_load   File ""<frozen importlib._bootstrap>"", line 1324, in _find_and_load_unlocked ModuleNotFoundError: No module named 'tabulate'  During handling of the above exception, another exception occurred:  Traceback (most recent call last):   File ""/root/.local/share/tds-sep-24-project-2/23f1001130/autolysis.py"", line 166, in <module>     main(args.csv_file, args.output_dir)     ~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/root/.local/share/tds-sep-24-project-2/23f1001130/autolysis.py"", line 152, in main     readme_path = save_analysis_report(output_dir, summary_stats, missing_values, outliers)   File ""/root/.local/share/tds-sep-24-project-2/23f1001130/autolysis.py"", line 121, in save_analysis_report     f.write(summary_stats.to_markdown() + ""\n\n"")             ~~~~~~~~~~~~~~~~~~~~~~~~~^^   File ""/root/.cache/uv/archive-v0/dsZr-lxI6AbzZ_nxEklFu/lib/python3.13/site-packages/pandas/util/_decorators.py"", line 333, in wrapper     return func(*args, **kwargs)   File ""/root/.cache/uv/archive-v0/dsZr-lxI6AbzZ_nxEklFu/lib/python3.13/site-packages/pandas/core/frame.py"", line 2983, in to_markdown     tabulate = import_optional_dependency(""tabulate"")   File ""/root/.cache/uv/archive-v0/dsZr-lxI6AbzZ_nxEklFu/lib/python3.13/site-packages/pandas/compat/_optional.py"", line 138, in import_optional_dependency     raise ImportError(msg) ImportError: Missing optional dependency 'tabulate'.  Use pip or conda to install tabulate. ",23f1001130,0
0.0,0.5,uv run autolysis *,did not run all,23f1001130,0
0.5,0.5,public_repo,exists,22f3000344,1
0.5,0.5,mit_license,present,22f3000344,1
0.4,0.4,autolysis.py,present,22f3000344,1
0.1,0.1,goodreads/README.md,present,22f3000344,1
0.1,0.1,goodreads/*.png,present,22f3000344,1
0.1,0.1,happiness/README.md,present,22f3000344,1
0.1,0.1,happiness/*.png,present,22f3000344,1
0.1,0.1,media/README.md,present,22f3000344,1
0.1,0.1,media/*.png,present,22f3000344,1
0.0,0.5,uv run autolysis goodreads.csv,"Traceback (most recent call last):   File ""/root/.local/share/tds-sep-24-project-2/22f3000344/autolysis.py"", line 2, in <module>     subprocess.run([""pip"", ""install"", ""python-decouple""])     ~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/root/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/subprocess.py"", line 554, in run     with Popen(*popenargs, **kwargs) as process:          ~~~~~^^^^^^^^^^^^^^^^^^^^^^   File ""/root/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/subprocess.py"", line 1036, in __init__     self._execute_child(args, executable, preexec_fn, close_fds,     ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^                         pass_fds, cwd, env,                         ^^^^^^^^^^^^^^^^^^^     ...<5 lines>...                         gid, gids, uid, umask,                         ^^^^^^^^^^^^^^^^^^^^^^                         start_new_session, process_group)                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/root/.local/share/uv/python/cpython-3.13.1-linux-x86_64-gnu/lib/python3.13/subprocess.py"", line 1966, in _execute_child     raise child_exception_type(errno_num, err_msg, err_filename) FileNotFoundError: [Errno 2] No such file or directory: 'pip' ",22f3000344,0
0.0,0.5,uv run autolysis *,did not run all,22f3000344,0
0.5,0.5,public_repo,exists,23f2000934,1
0.5,0.5,mit_license,present,23f2000934,1
0.4,0.4,autolysis.py,present,23f2000934,1
0.1,0.1,goodreads/README.md,present,23f2000934,1
0.1,0.1,goodreads/*.png,present,23f2000934,1
0.1,0.1,happiness/README.md,present,23f2000934,1
0.1,0.1,happiness/*.png,present,23f2000934,1
0.1,0.1,media/README.md,present,23f2000934,1
0.1,0.1,media/*.png,present,23f2000934,1
0.5,0.5,uv run autolysis goodreads.csv,ran,23f2000934,1
0.5,0.5,uv run autolysis *,ran,23f2000934,1
0.5,0.5,public_repo,exists,22ds2000074,1
0.5,0.5,mit_license,present,22ds2000074,1
0.4,0.4,autolysis.py,present,22ds2000074,1
0.1,0.1,goodreads/README.md,present,22ds2000074,1
0.1,0.1,goodreads/*.png,present,22ds2000074,1
0.1,0.1,happiness/README.md,present,22ds2000074,1
0.1,0.1,happiness/*.png,present,22ds2000074,1
0.1,0.1,media/README.md,present,22ds2000074,1
0.1,0.1,media/*.png,present,22ds2000074,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/22ds2000074/goodreads.csv,22ds2000074,0
0.0,0.5,uv run autolysis *,did not run all,22ds2000074,0
0.5,0.5,public_repo,exists,22f1001082,1
0.5,0.5,mit_license,present,22f1001082,1
0.4,0.4,autolysis.py,present,22f1001082,1
0.1,0.1,goodreads/README.md,present,22f1001082,1
0.1,0.1,goodreads/*.png,present,22f1001082,1
0.1,0.1,happiness/README.md,present,22f1001082,1
0.1,0.1,happiness/*.png,present,22f1001082,1
0.1,0.1,media/README.md,present,22f1001082,1
0.1,0.1,media/*.png,present,22f1001082,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/22f1001082/goodreads.csv,22f1001082,0
0.0,0.5,uv run autolysis *,did not run all,22f1001082,0
0.5,0.5,public_repo,exists,23f1001357,1
0.5,0.5,mit_license,present,23f1001357,1
0.4,0.4,autolysis.py,present,23f1001357,1
0.1,0.1,goodreads/README.md,present,23f1001357,1
0.1,0.1,goodreads/*.png,present,23f1001357,1
0.1,0.1,happiness/README.md,present,23f1001357,1
0.1,0.1,happiness/*.png,present,23f1001357,1
0.1,0.1,media/README.md,present,23f1001357,1
0.1,0.1,media/*.png,present,23f1001357,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/23f1001357/goodreads.csv,23f1001357,0
0.0,0.5,uv run autolysis *,did not run all,23f1001357,0
0.5,0.5,public_repo,exists,21f1004719,1
0.5,0.5,mit_license,present,21f1004719,1
0.4,0.4,autolysis.py,present,21f1004719,1
0.1,0.1,goodreads/README.md,present,21f1004719,1
0.1,0.1,goodreads/*.png,present,21f1004719,1
0.1,0.1,happiness/README.md,present,21f1004719,1
0.1,0.1,happiness/*.png,present,21f1004719,1
0.1,0.1,media/README.md,present,21f1004719,1
0.1,0.1,media/*.png,present,21f1004719,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/21f1004719/goodreads.csv,21f1004719,0
0.0,0.5,uv run autolysis *,did not run all,21f1004719,0
0.5,0.5,public_repo,exists,23f1001172,1
0.5,0.5,mit_license,present,23f1001172,1
0.4,0.4,autolysis.py,present,23f1001172,1
0.1,0.1,goodreads/README.md,present,23f1001172,1
0.1,0.1,goodreads/*.png,present,23f1001172,1
0.1,0.1,happiness/README.md,present,23f1001172,1
0.1,0.1,happiness/*.png,present,23f1001172,1
0.1,0.1,media/README.md,present,23f1001172,1
0.1,0.1,media/*.png,present,23f1001172,1
0.0,0.5,uv run autolysis goodreads.csv,"Traceback (most recent call last):   File ""/root/.local/share/tds-sep-24-project-2/23f1001172/autolysis.py"", line 20, in <module>     import pytesseract ModuleNotFoundError: No module named 'pytesseract' ",23f1001172,0
0.0,0.5,uv run autolysis *,did not run all,23f1001172,0
0.5,0.5,public_repo,exists,22f3001652,1
0.5,0.5,mit_license,present,22f3001652,1
0.4,0.4,autolysis.py,present,22f3001652,1
0.1,0.1,goodreads/README.md,present,22f3001652,1
0.1,0.1,goodreads/*.png,present,22f3001652,1
0.1,0.1,happiness/README.md,present,22f3001652,1
0.1,0.1,happiness/*.png,present,22f3001652,1
0.1,0.1,media/README.md,present,22f3001652,1
0.1,0.1,media/*.png,present,22f3001652,1
0.0,0.5,uv run autolysis goodreads.csv,"Command '['uv', 'run', '/root/.local/share/tds-sep-24-project-2/22f3001652/autolysis.py', '/root/.local/share/tds-sep-24-project-2/datasets/goodreads.csv']' timed out after 180 seconds",22f3001652,0
0.0,0.5,uv run autolysis *,did not run all,22f3001652,0
0.5,0.5,public_repo,exists,23f1002254,1
0.5,0.5,mit_license,present,23f1002254,1
0.4,0.4,autolysis.py,present,23f1002254,1
0.1,0.1,goodreads/README.md,present,23f1002254,1
0.1,0.1,goodreads/*.png,present,23f1002254,1
0.1,0.1,happiness/README.md,present,23f1002254,1
0.1,0.1,happiness/*.png,present,23f1002254,1
0.1,0.1,media/README.md,present,23f1002254,1
0.1,0.1,media/*.png,present,23f1002254,1
0.0,0.5,uv run autolysis goodreads.csv,no README.md in /root/.local/share/tds-sep-24-project-2/eval/23f1002254/goodreads.csv,23f1002254,0
0.0,0.5,uv run autolysis *,did not run all,23f1002254,0
0.5,0.5,public_repo,exists,23f2001030,1
